DATE,Bajaj Signal,Eicher Signal,Hero Signal,TVS Signal,Infosys Signal,TCS Signal
1/1/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
1/2/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
1/5/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
1/6/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
1/7/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
1/8/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
1/9/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
1/12/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
1/13/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
1/14/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
1/15/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
1/16/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
1/19/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
1/20/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
1/21/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
1/22/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
1/23/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
1/27/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
1/28/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
1/29/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
1/30/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2/2/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2/3/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2/4/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2/5/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2/6/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2/9/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2/10/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2/11/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2/12/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2/13/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2/16/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2/18/2015,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
